views,likes,dislikes
748374,57527,2966
2418783,97185,6146
3191434,146033,5339
343168,10172,666
2095731,132235,1989
119180,9763,511
2103417,15993,2445
817732,23663,778
826059,3543,119
256426,12654,1363
81377,655,25
104578,1576,303
687582,114188,1333
544770,7848,1171
207532,7473,246
75752,9419,52
295639,8011,638
78044,5398,53
97007,11963,36
223871,8421,191
115791,9586,75
224019,3585,138
144418,11758,89
145921,1707,578
33980,4884,52
223077,8676,193
80705,4687,41
120727,9033,224
27943,156,36
50867,715,238
98378,4035,495
26000,119,69
17158531,787419,43420
67661,3781,84
141148,1661,70
98966,2486,184
288922,7515,792
13917,1318,24
605932,38397,1387
57169,6927,161
60506,5389,106
34785,308,26
945,7,5
328330,15186,15448
321053,4451,1772
1456472,33505,1660
69844,3417,33
956169,2017,2425
4569,35,18
2045386,45406,2842
1842393,99086,1339
6473,205,6
1044813,15397,838
9548677,190083,15015
197062,7250,217
1496225,16116,236
162597,5734,106
9132,21,8
7265,89,8
291597,8209,344
290801,10237,377
5304,52,13
812516,26917,1979
2642930,115795,3055
105058,493,54
537715,8231,413
2744430,115426,1110
3358068,120876,8279
4732,203,6
7224515,55681,10247
33523622,1634124,21082
52591,2233,187
75822,2978,147
43715,1550,109
303956,18603,585
238643,2429,5381
237307,1896,74
1282413,37669,1732
1497519,15504,353
148226,355,47
484185,23296,1184
300617,8133,2693
92523,2323,40
7524,67,19
103927,3571,278
177707,6271,88
1751064,16430,945
46746,439,66
746092,34839,537
836830,82320,1279
67429,438,23
2237404,72593,1830
45455,2282,35
2063667,98804,11682
2736733,58967,3492
165698,8599,361
836544,40195,373
284666,16396,81
3371669,202676,3394
195685,14338,171
1098897,43875,1326
893462,22326,833
225286,1731,193
264793,3283,853
5476737,286268,4083
3578502,307435,2573
304926,3305,130
247319,10138,153
296434,3327,142
125962,5048,139
419341,53572,168
138988,7999,84
1774018,88417,1002
1575525,52829,1524
626688,25115,499
219030,14303,398
493662,7693,181
1017803,25122,628
139955,4417,217
362009,5505,2356
294387,15247,385
844653,11616,313
1315873,9312,584
188003,9091,135
1624771,84426,1130
125970,935,507
205869,11198,120
98422,2926,106
426078,19323,245
33315,1365,24
1231518,32648,6221
154872,7683,164
72626,3652,120
366180,4364,4448
264511,11736,532
192609,1345,24
95944,1354,181
154494,2163,147
53321,443,131
95085,909,52
91776,4604,46
764716,35765,483
135337,7158,89
77630,1991,83
378750,5642,146
151709,9210,71
175852,15909,200
5149,242,0
1905487,65854,2442
9632678,810895,16139
476389,16106,950
754558,11985,1356
762616,20159,336
199429,10175,66
691229,31892,197
6412,49,0
108618,4989,58
79306,3809,127
812007,5894,951
55398,1170,22
773,2,0
581288,5075,725
99619,3959,158
4850,22,1
226088,10844,302
651036,23338,442
451356,3454,284
46571,4250,16
28539,681,25
12609,40,79
30021,569,42
471266,23634,460
1073134,47793,1886
18573,420,10
250193,5748,332
1827,3,0
2457408,2707,200
51143,258,5
27010,1666,36
122669,5723,55
358597,1211,72
56012,6243,106
6148,121,3
1390440,86207,1775
244532,633,174
82087,998,93
359120,15130,223
33768,426,88
38068,2195,28
1277364,56867,2148
1498866,67227,1473
280065,20289,38
2259,0,0
470191,4037,430
16305,147,13
169511,57,59
160477,8388,691
704363,16352,224
130778,5684,53
560569,29990,341
462490,14132,795
295217,4854,1439
1525400,63995,896
1836419,28647,17815
977285,87615,391
390964,3687,1273
1611093,58474,837
983365,60983,578
2765121,35529,1705
3701763,56561,2495
829132,25109,316
391049,5939,106
137003,580,262
891912,122347,455
175539,17130,264
14565,478,13
125645,16754,65
2188590,88099,7150
394709,25188,281
863116,20518,1030
200235,1197,108
4632016,131784,9892
122426,6310,298
758998,19138,2272
145100,5198,74
2671756,12699,505
52743,4553,33
121681,6095,61
11404,62,26
419965,9805,1337
137749,1145,61
772235,15301,1229
297147,10410,110
126438,12229,86
2285136,180284,3399
206319,11131,209
60564,975,66
373457,16433,194
4326684,167696,6730
137860,1950,64
4009,61,6
3006,75,4
635985,20721,2417
130893,8177,220
46954,87,18
208155,11162,569
190669,5162,131
2509626,144816,2262
20778,1440,24
30438,143,42
94694,136,11
211683,2279,545
210393,8996,290
63780,831,12
18438,563,16
1099318,26813,1047
71661,6310,18
935879,5715,514
131153,7129,78
84149,276,128
34138,4303,29
144937,5246,171
306550,16612,160
328325,19970,104
2472569,17959,2863
341074,10915,1915
113963,11576,155
21544,83,74
93322,398,43
68084,2530,88
279092,8339,315
692631,9086,1406
155285,4719,64
93829,2229,36
31639,586,42
37524,126,77
358358,9211,731
158173,6587,68
45200,930,67
286577,9606,248
315177,4212,171
225044,2265,775
399491,6240,326
231104,12862,347
5813,33,3
18317,1322,34
246134,5847,337
32483,23,10
113462,4566,142
311621,2425,145
94229,217,177
571588,386,47
272604,9576,260
42336,4293,89
13750,305,10
6684,18,57
128523,4170,148
102639,3218,1085
